Category,Manufacturer,Name,Conductivity {W/m-K},Thermal Diffusivity [mm2/s],Specific Heat {J/kg-K},Thermal Effusivity [Ws0.5/m2?K],Density {kg/m3},Roughness,Thermal Absorptance,Solar Absorptance,Visible Absorptance,Source,Date
default,-,default,0.5624888,-,626.8238,-,1681.9386,Mediumsoooth,0.9,0.7,0.7,-,-
default,-,unnamed,0.5624888,-,626.8238,-,1681.9386,Mediumsoooth,0.9,0.7,0.7,-,-
default,-,ceiling,0.5624888,-,626.8238,-,1681.9386,Mediumsoooth,0.9,0.7,0.7,-,-
default,-,slab,0.5624888,-,626.8238,-,1681.9386,Mediumsoooth,0.9,0.7,0.7,-,-
default,-,plastic,0.23,0.11,1464,692,1420,Mediumsoooth,0.9,0.7,0.7,-,-
default,-,metal,71.965,20.4,448,15924,7870,Mediumsoooth,0.9,0.7,0.7,-,-
default,-,frame,71.965,20.4,448,15924,7870,Mediumsoooth,0.9,0.7,0.7,-,-
default,-,wood,0.151,0.12,2301,437,550,Mediumsoooth,0.9,0.7,0.7,-,-
default,-,bamboo,0.151,0.12,2301,437,550,Mediumsoooth,0.9,0.7,0.7,-,-
default,-,door,0.151,0.12,2301,437,550,Mediumsoooth,0.9,0.7,0.7,-,-
default,-,finish,0.151,0.12,2301,437,550,Mediumsoooth,0.9,0.7,0.7,-,-
Raw material,Thermtest,1-dodecene,0.14,0.0856,2150,478.5,761,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Plastic ,Thermtest,abs resin (high k),0.209,0.13,1506,572,1040,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Plastic ,Thermtest,abs resin (low k),0.138,0.09,1506,465,1040,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Plastic ,Thermtest,acetal resin (delrin),0.23,0.11,1464,692,1420,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,acetone,0.181,0.1,2160,556,790,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Raw material,Thermtest,acetylene,0.5,0.27,3000,960.5,615,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Plastic ,Thermtest,acrylic (high k),0.251,0.15,1423,655,1200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
Glass Plastic ,Thermtest,acrylic (lucite plexiglass),0.152,0.1,1297,486,1200,Mediumsoooth,0.9,0.7,0.7,MATERIALS THERMAL PROPERTIES DATABASE(https://thermtest.com/materials-database),2018
